"FindingId","ApplicationStatus","Risk","Fixed","File","Line","Method","ApiRoutes","VulnerabilityType","OriginalCode","RefactoredCode","Notes"
"A001","Active","High","Yes","DBContext/TrainingDB.cs","31","Get_VW_Training_calendar","api/Dashboard_Data; api/Dashboard_All_Trg_Data","SQL Injection","Dates and TrainingStatus concatenated into SELECT","@FromDate, @ToDate, and @TrainingStatus parameters","API contracts and result mapping unchanged."
"A002","Active","Medium","Yes","DBContext/TrainingDB.cs","36","Get_VW_Training_calendar","api/Trainings; dashboard/event/feedback APIs","SQL Injection","Typed dates formatted and concatenated into SELECT","@FromDate and @ToDate DateTime2 parameters","API contracts and result mapping unchanged."
"A003","Active","High","Yes","DBContext/TrainingDB.cs","252","Get_Users_Training","Indirect dashboard/training APIs","SQL Injection","Function arguments usertype, userid, and dates concatenated","Four typed/bounded parameters","API contracts and result mapping unchanged."
"A004","Active","High","Yes","DBContext/TrainingDB.cs","427","Get_Day_Week_Count_Id","Indirect training APIs","SQL Injection","Function date strings concatenated","@FromDate and @ToDate bounded parameters","API contracts and result mapping unchanged."
"A005","Active","High","Yes","DBContext/TrainingDB.cs","633","Get_Particular_Training_Detail_By_Code","api/Training_Details_by_Code","SQL Injection","trainingcode concatenated in WHERE","@TrainingCode parameter","API contracts and result mapping unchanged."
"A006","Active","Medium","Yes","DBContext/TrainingDB.cs","1225","Get_Participant_Certificates","api/Dashboard_analytics","SQL Injection","agencyid concatenated into UNIQUEIDENTIFIER declaration","Guid.TryParse plus @AgencyId UniqueIdentifier parameter","API contracts and result mapping unchanged."
"A007","Active","High","Yes","DBContext/SessionDB.cs","35","Get_Session_Data_By_Trg","Multiple session/content APIs","SQL Injection","trainingid concatenated in WHERE","@TrainingId parameter","API contracts and result mapping unchanged."
"A008","Active","Medium","Yes","DBContext/SessionDB.cs","1193","Get_Session_Data","Dashboard APIs","SQL Injection","Typed dates and session date concatenated","DateTime2 parameters","API contracts and result mapping unchanged."
"A009","Active","Medium","Yes","DBContext/SessionDB.cs","1198","Get_Session_Data","Dashboard APIs","SQL Injection","Typed date range concatenated","DateTime2 parameters","API contracts and result mapping unchanged."
"A010","Active","High","Yes","DBContext/SessionDB.cs","3319","Get_Session_Details","api/Get_Session_Slot","SQL Injection","sessionid concatenated in WHERE","@SessionId parameter","API contracts and result mapping unchanged."
"A011","Active","High","Yes","DBContext/ContentDB.cs","365","Get_Content_Detail","api/GET_CONTENT_DETAILS; api/GET_CONTENT_DETAILS_wk; api/Complete_Activity","SQL Injection","ttsam_id concatenated in WHERE","@ContentId parameter","API contracts and result mapping unchanged."
"A012","Active","High","Yes","DBContext/ContentDB.cs","397","Get_ttpai_from_Content","api/GET_CONTENT_DETAILS; api/GET_CONTENT_DETAILS_wk","SQL Injection","contentid and participantid concatenated","@ContentId and @ParticipantId parameters","API contracts and result mapping unchanged."
"A013","Active","High","Yes","DBContext/ContentDB.cs","487","Get_Activity_Data","Get_Activity_Data; api/Next_Interview_Result","SQL Injection","agencyid and activityid concatenated","@AgencyId and @ActivityId parameters","API contracts and result mapping unchanged."
"A014","Active","High","Yes","DBContext/ContentDB.cs","492","Get_Activity_Data","Get_Activity_Data","SQL Injection","agencyid concatenated","@AgencyId parameter","API contracts and result mapping unchanged."
"A015","Active","High","Yes","DBContext/ContentDB.cs","542","Get_Activity_Data_by_id","Interview result APIs","SQL Injection","tpad_id concatenated","@ActivityDataId parameter","API contracts and result mapping unchanged."
"A016","Active","High","Yes","DBContext/FeedbackDB.cs","26","Get_Share_Feedback","api/TrainingFeedback","SQL Injection","participantid concatenated","@ParticipantId parameter","API contracts and result mapping unchanged."
"A017","Active","High","Yes","DBContext/FeedbackDB.cs","65","Get_Participant_Feedback_Status","api/Check_Feedback_Status","SQL Injection","participantid and sharefeedbackid concatenated","Two bounded parameters","API contracts and result mapping unchanged."
"A018","Active","High","Yes","DBContext/EvalDB.cs","322","Get_Test_Detail","api/get_user_session_test_details","SQL Injection","testid concatenated","@TestId parameter","API contracts and result mapping unchanged."
"A019","Active","High","Yes","DBContext/ParticipantDB.cs","969","Validate_User_Training","api/Participant_Exist_In_trg","SQL Injection","participantid and trainingid concatenated","Two bounded parameters","API contracts and result mapping unchanged."
"A020","Active","High","Yes","DBContext/SupportDB.cs","669","Check_First_Login","api/Check_First_Login; api/Check_First_Login_wk","SQL Injection","participantid concatenated in subquery","@ParticipantId parameter","API contracts and result mapping unchanged."
"A021","Active","High","Yes","DBContext/UserDB.cs","790","Get_Trg_User_Details","api/Verify_Certificate","SQL Injection","usercode and trainingid concatenated","@UserCode and @TrainingId parameters","API contracts and result mapping unchanged."
"A022","Active","High","Yes","Common/DMS/DMSDB.cs","93","GENERATE_DOC_NO","Internal DMS document creation","SQL Injection","Function arguments concatenated","Five typed/bounded parameters","API contracts and result mapping unchanged."
"A023","Active","High","Yes","Common/DMS/DMSDB.cs","168","GET_DMS_STATUS_DATA","Assignment and participant APIs","SQL Injection","doc id and tat type concatenated","@DocId and @TatTypeId parameters","API contracts and result mapping unchanged."
"A024","Active","Medium","Yes","Common/DMS/DMSDB.cs","173","GET_DMS_STATUS_DATA","Assignment and participant APIs","SQL Injection","Integer tat type concatenated","@TatTypeId Int parameter","API contracts and result mapping unchanged."
"A025","Active","High","Yes","Common/DMS/DMSDB.cs","228","GENERATE_AGENCY_USER_CODE","Internal agency creation","SQL Injection","Function arguments concatenated","Four bounded parameters","API contracts and result mapping unchanged."
"A026","Active","High","Yes","Common/DMS/DMSDB.cs","621","GET_DMS_Doc_Action_DATA","api/GetAllActions","SQL Injection","doc id and tat type concatenated","@DocId and @TatTypeId parameters","API contracts and result mapping unchanged."
"A027","Active","High","Yes","Common/DMS/DMSDB.cs","682","GET_DMS_LAST_STATUS_DATA","api/DMSData","SQL Injection","document number concatenated","@DocumentNo parameter","API contracts and result mapping unchanged."
"A028","Active","High","Yes","Common/DMS/DMSDB.cs","697","GET_DMS_LAST_STATUS_DATA","api/DMSData","SQL Injection","dates and employee id concatenated","Validated DateTime2 parameters and @EmployeeId","API contracts and result mapping unchanged."
"A029","Active","Medium","Yes","Common/DMS/DMSDB.cs","702","GET_DMS_LAST_STATUS_DATA","api/DMSData","SQL Injection","Date strings concatenated","DateTime.TryParse plus DateTime2 parameters","API contracts and result mapping unchanged."
"A030","Active","High","Yes","Common/DMS/DMSDB.cs","838","GET_DMS_STATUS_DATA_FOR_SELECTED_DOCID","Dashboard APIs","SQL Injection","Caller-built quoted GUID IN list concatenated","Validated one UniqueIdentifier parameter per GUID","API contracts and result mapping unchanged."
"A031","Active","Medium","Yes","Common/DMS/DMSDB.cs","846","GET_DMS_STATUS_DATA_FOR_SELECTED_DOCID","Dashboard APIs","SQL Injection","Integer tat type concatenated","@TatTypeId Int parameter","API contracts and result mapping unchanged."
"L001","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","906","GetUsercode","Legacy callers","SQL Injection","cmd = New SqlCommand("" SELECT YUser.[F_GetUserCode] ('"" & AgencyTypeId & ""','"" & BranchID & ""') "", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
"L002","Legacy-not-compiled","High","No","DBContext/old/Datamanager.vb","1195","CHECK_REGISTERED_MOBILE_NO","Legacy callers","SQL Injection","cmd = New SqlCommand(""declare @isexi int select @isexi = [TrainingPlan].[f_tp_get_tp_sponosr_ahuthorised_person_rmn] ('"" + Mobileno + ""',null) select @isexi"", con)","Not changed: legacy VB is not compiled by the current project.","Unresolved legacy finding; separate compatibility decision required."
